MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
5178,African,African,African,SouthAfrica,Angola,,,1,1,3,3,2,3,4,3,2,1,1,0,2,2,0,3,1
7425,Asian,Asian,PacificIsland,,Borneo,,Borneo,2,3,3,2,,2,1,2,1,1,1,1,2,2,2,2,0
7433,Asian,Asian,PacificIsland,,Borneo,,Borneo,1,3,2,2,,2,4,2,4,1,1,1,2,1,0,2,0
7441,Asian,Asian,PacificIsland,,Borneo,,Borneo,2,3,2,1,,2,1,4,,0,1,0,2,1,2,1,1
5215,African,African,African,SouthAfrica,Botswana,,,1,3,3,3,3,2,4,2,4,1,1,0,3,1,1,1,0
5049,African,African,African,CentralAfrica,Chinese,,,1,3,2,2,3,3,0,3,4,1,1,1,3,1,0,2,2
325,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,3,,,1,,1,,2,,,2
326,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,3,,2,0,,,0,,0,,3,,,2
327,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,2,,2,2,,,0,,,,,,,1
329,Asian,Asian,Asian,Chinese,Chinese,,,2,2,3,2,,3,0,,,0,,0,,3,,,2
330,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,2,,,1,,0,,3,,,1
412,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,2,,2,2,,,0,,0,,2,,,1
1661,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,2,,2,1,,,0,,0,,3,2,,
1728,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,1,,,1,,0,,1,,,
1748,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,0,,,0,,1,,1,,,
2481,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,1,,2,0,,,0,,0,,1,,,1
